reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
22,1,108,928.1916281,34.37746771,34.37746771,NA,20190528,field,boat,NA,NA,transect tape,CP_FR,
22,1,116.98,1009.85,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,
22,2,121.84,1057.53,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,
22,3,118.07,979.31,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,
22,1,128.97,1165.98,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
22,2,129.21,1189.01,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
22,3,121.06,1101,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
22,1,118.33,1050.52,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
22,2,112.74,944.4,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
22,3,114.32,968.34,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
22,1,116.15,970.1,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
22,2,117.71,991.31,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
22,3,118.67,1035.44,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
22,1,123.55,1130,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
22,2,125.67,1140,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
22,3,124.28,1170,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
22,1,125.32,1160,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,
22,2,124.43,1200,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,
