reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
22,1,116.01,952.1,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,
22,2,115.9,976.7,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,
22,3,116.6,1012.1,,,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,
22,1,114.85,915.4,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,
22,2,111.8,938.1,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,
22,3,121.6,1099.5,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,
22,1,120.2,1054.8,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,
22,2,123.3,1067.6,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,
22,3,114.8,1070.2,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,
22,1,117.2,1074.8,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
22,2,128.5,1251.7,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
22,3,127,1248.1,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
22,1,121.9,1270,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
22,2,130.7,1300,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
22,3,134.2,1140,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
22,1,113.3,922.1,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,
