reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
21,1,103.49,780.25,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,JAH,
21,2,109,782,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,JAH,
21,3,106,752.08,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,JAH,
21,1,91.68,641.02,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",JAH,
21,2,97.16,677.45,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",JAH,
21,3,100.91,733.22,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",JAH,
21,1,85.12,547.67,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,JAH,
21,2,88.07,573.74,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,JAH,
21,3,93.86,621.72,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,JAH,
21,1,119.28,1064.43,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",JAH,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,2,111.94,933,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",JAH,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,3,106.03,824.4,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",JAH,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,1,136.45,1481.621311,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),JAH,
21,2,133.79,1424.417968,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),JAH,
21,3,134.96,1449.44011,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),JAH,
21,1,151.53,1827.205452,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,JAH,
21,2,140.97,1581.406558,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,JAH,
21,3,136.24,1477.064315,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,JAH,
21,1,141.99,1604.374144,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,JAH,
21,2,137.23,1498.608745,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,JAH,
21,3,146.69,1712.344539,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,JAH,
21,1,269.81,5793.0359,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,JAH,
21,2,215.04,3679.837482,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,JAH,
