reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
21,1,78,484.15,,,NA,20190514,field,boat,NA,NA,transect tape,KP,1.5 m depth
21,1,97.32,707.35,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,KP,
21,2,90.2,616.87,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,KP,
21,3,89.39,601.63,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,KP,
21,1,75.75,440.25,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",KP,
21,2,76.6,437.99,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",KP,
21,3,74.94,429.47,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",KP,
21,1,82.44,523.96,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,KP,
21,2,85.96,564.87,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,KP,
21,3,81.44,505.43,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,KP,
21,1,100.54,778.58,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",KP,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,2,85.09,543.53,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",KP,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
