reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
21,1,101,789,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,2,101,758,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,3,101.62,759,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
21,1,98.9,734.9,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,2,103.8,815.7,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,3,102.7,774.5,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
21,1,116.1,984.4,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,2,114.8,981.4,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,3,111.4,937,,,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,EM,
21,1,114.4,1000.3,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,2,113.8,969.33,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,3,115.78,1020.1,,,2,20030412,imagery,GE,satellite,DigitalGlobe,"EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth, but the imagery of this scene is def >1m, which is DG's lowest res sat listed in Christiaan Adam's post)",EM,"resolution is not 100% clear: 3.0 (?) or 2.0, if copyright info (DG) is wrong"
21,1,115.21,1056.259162,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,2,137.71,1509.11068,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,3,136.59,1484.663207,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EM,
21,1,128.2,1307.874843,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,2,126.1,1265.378086,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,3,110.2,966.3919976,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EM,
21,1,98.87,777.8918194,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,2,98.7,775.2190588,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,3,117.7,1102.409791,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EM,
21,1,147.5,1731.307365,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
21,2,134.4,1437.436516,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
21,3,121.1,1167.020331,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EM,
23,1,206.5,3193.9,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
23,2,203.5,3170.3,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
23,3,196.5,2883.5,,,0.15,20130115,imagery,GE,aerial,unknown,unknown,EM,
23,1,196.81,2882.6,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
23,2,199.1,2914.76,,,0.5,20130822,imagery,GE,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EM,
