fname,reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes,X1,reef_no;replicate;perimeter_m;area_m2;diam_longest_m;diam_perpendic_m;imagery_resolution_m;date;method;platform;imagery_type;provider;instrument;observer;notes,dt
data/Module1_MeasuringReefs_CP.csv,22,1,108,928.1916281,34.37746771,34.37746771,NA,20190528,field,boat,NA,NA,transect tape,CP_FR,NA,NA,NA,2019-05-28
data/Module1_MeasuringReefs_CP.csv,22,1,116.98,1009.85,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,22,2,121.84,1057.53,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,22,3,118.07,979.31,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,22,1,128.97,1165.98,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,22,2,129.21,1189.01,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,22,3,121.06,1101,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,22,1,118.33,1050.52,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,22,2,112.74,944.4,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,22,3,114.32,968.34,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,22,1,116.15,970.1,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,22,2,117.71,991.31,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,22,3,118.67,1035.44,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,22,1,123.55,1130,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,22,2,125.67,1140,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,22,3,124.28,1170,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,22,1,125.32,1160,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,22,2,124.43,1200,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,22,3,117.44,1060,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,22,1,134.53,1370,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,22,2,127.27,1260,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,22,3,134.5,1290,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,22,1,128.13,1230,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,22,2,124.53,1150,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,22,3,140.52,1380,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,20,1,137,1493.589563,43.60845441,43.60845441,NA,20190528,field,boat,NA,NA,transect tape,CP_FR,NA,NA,NA,2019-05-28
data/Module1_MeasuringReefs_CP.csv,20,1,146.55,1625.38,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,20,2,147.36,1635.6,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,20,3,146.43,1616.21,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,20,1,143.02,1452.09,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,20,2,139.07,1394.04,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,20,3,148.91,1587.61,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,20,1,141.66,1500.31,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,20,2,140.7,1459.87,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,20,3,137.48,1424.49,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,20,1,134.87,1370.67,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,20,2,136.27,1392.57,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,20,3,138.14,1413.89,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,20,1,166.03,2150,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,20,2,159.66,1790,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,20,3,151.7,1730,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,20,1,128.1,1210,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,20,2,127.43,1210,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,20,3,146.11,1370,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,20,1,161.52,2e3,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,20,2,145.62,1590,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,20,3,160.35,1890,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,20,1,117.36,1020,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,20,2,131.07,1190,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,20,3,135.6,1340,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,15,1,302,7257.783715,96.12958563,96.12958563,NA,20190528,field,boat,NA,NA,transect tape,CP_FR,NA,NA,NA,2019-05-28
data/Module1_MeasuringReefs_CP.csv,15,1,302.77,6680.19,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,15,2,299.37,6620.55,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,15,3,299.82,6617.18,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,CEP,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_CP.csv,15,1,294.63,6422.49,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
